mass,961.9
size,293.8,204.1,326.1
Average Velocity,15.43
Velocity Stdev,8.473
Straight Factor,0.00598
Frame Z Position Stdev,0.59


Time(s),Path(x),Path(y),Path(z),Pos(x),Pos(y),Pos(z),force(x),force(y),force(z)
13.43,1.688,-0.1532,-0.2261,-1.238,0.0002279,0.2606,-1.108e-05,-1.156e-08,-8.949e-05
13.45,1.767,-0.1593,-0.229,-1.241,0.00024,0.2607,-9.846e-06,1.243e-07,-8.869e-05
13.47,1.846,-0.1652,-0.2323,-1.245,0.0002411,0.2608,-7.866e-06,1.615e-07,-8.875e-05
13.5,1.925,-0.1708,-0.2355,-1.249,0.0002475,0.2609,-4.978e-06,-6.969e-08,-8.956e-05
13.53,2.003,-0.1761,-0.2384,-1.252,0.0002608,0.261,-1.27e-06,-1.388e-07,-9.033e-05
13.55,2.082,-0.1809,-0.2408,-1.256,0.0002715,0.261,2.623e-06,-7.609e-08,-9.138e-05
13.57,2.161,-0.1851,-0.2428,-1.26,0.000275,0.261,7.091e-06,-1.424e-08,-9.325e-05
13.6,2.24,-0.1885,-0.2445,-1.264,0.0002951,0.261,1.123e-05,9.696e-09,-9.407e-05
13.63,2.319,-0.1911,-0.2462,-1.268,0.0003245,0.2611,1.569e-05,6.168e-09,-9.524e-05
13.65,2.397,-0.1929,-0.2477,-1.272,0.0003469,0.261,1.964e-05,6.233e-08,-9.611e-05
13.68,2.476,-0.194,-0.2492,-1.277,0.000355,0.2608,2.388e-05,-1.193e-08,-9.658e-05
13.7,2.555,-0.1946,-0.2505,-1.282,0.0003772,0.2606,2.785e-05,-1.521e-08,-9.61e-05
13.72,2.634,-0.1949,-0.2516,-1.287,0.000394,0.2601,-2.55e-05,-6.702e-07,0.0007636
13.75,2.713,-0.195,-0.2526,-1.291,0.0003976,0.26,-0.0002249,8.98e-06,0.003258
13.78,2.791,-0.1949,-0.2534,-1.294,0.0003885,0.2606,-0.0004546,3.335e-05,0.005504
13.8,2.87,-0.1945,-0.2541,-1.296,0.0003708,0.2609,-0.001272,0.0001415,0.01204
13.82,2.949,-0.1937,-0.2548,-1.297,0.0003923,0.2608,-0.005749,0.002909,0.02543
13.85,3.027,-0.1925,-0.2553,-1.298,0.0004095,0.2607,-0.01297,0.005207,0.04293
13.88,3.106,-0.191,-0.2557,-1.298,0.0004287,0.2604,-0.02468,0.006098,0.0626
13.9,-3.099,-0.1893,-0.256,-1.299,0.0004359,0.26,-0.04318,0.006376,0.08252
13.93,-3.021,-0.1874,-0.2562,-1.299,0.0004403,0.2595,-0.06908,0.006373,0.1014
13.95,-2.943,-0.1857,-0.2563,-1.3,0.000446,0.2593,-0.1004,0.006219,0.1191
13.97,-2.865,-0.1838,-0.2563,-1.302,0.0004343,0.2594,-0.1322,0.006001,0.1346
14,-2.787,-0.1812,-0.2564,-1.305,0.0004369,0.2595,-0.1637,0.005761,0.1479
14.03,-2.709,-0.1779,-0.2566,-1.308,0.0004289,0.2597,-0.195,0.005484,0.1613
14.05,-2.631,-0.1741,-0.2568,-1.312,0.0004405,0.26,-0.2249,0.005061,0.1711
14.07,-2.553,-0.1704,-0.2569,-1.317,0.0004247,0.2602,-0.2477,0.001987,0.1772
14.1,-2.475,-0.1664,-0.2571,-1.323,0.0004219,0.2607,-0.244,3.967e-05,0.1671
14.13,-2.397,-0.1623,-0.2572,-1.329,0.0004589,0.261,-0.2368,-0.0007415,0.1653
14.15,-2.319,-0.1582,-0.2573,-1.336,0.0004594,0.2611,-0.2193,-0.001069,0.1504
14.18,-2.24,-0.1543,-0.2573,-1.344,0.0004424,0.2612,-0.1944,-0.001088,0.1366
14.2,-2.162,-0.1506,-0.2573,-1.351,0.0004734,0.2609,-0.164,-0.001001,0.1245
14.22,-2.083,-0.1469,-0.2573,-1.359,0.0004754,0.2604,-0.1332,-0.0008358,0.1141
14.25,-2.004,-0.1421,-0.2571,-1.366,0.0004545,0.2601,-0.1028,-0.0006687,0.1067
14.28,-1.926,-0.1361,-0.257,-1.372,0.0004485,0.2601,-0.07797,0.003723,0.1111
14.3,-1.847,-0.1313,-0.257,-1.377,0.0004595,0.2601,-0.05292,0.006343,0.1238
14.32,-1.768,-0.1273,-0.257,-1.382,0.0004682,0.2602,-0.02994,0.007436,0.1369
14.35,-1.689,-0.1239,-0.257,-1.385,0.0004664,0.2603,-0.02986,0.007207,0.1636
14.38,-1.61,-0.1209,-0.257,-1.388,0.0004756,0.2604,-0.02852,0.006922,0.1804
14.4,-1.532,-0.1181,-0.2571,-1.391,0.0004831,0.2605,-0.0305,0.00665,0.2102
14.43,-1.453,-0.115,-0.2572,-1.394,0.0004778,0.2607,-0.03208,0.006312,0.2396
14.45,-1.375,-0.1116,-0.2572,-1.398,0.0004739,0.2608,-0.03319,0.005998,0.2681
14.47,-1.296,-0.108,-0.2573,-1.401,0.0004918,0.2609,-0.03374,0.006429,0.2738
14.5,-1.218,-0.1041,-0.2572,-1.405,0.0005007,0.261,-0.03548,0.007032,0.2843
14.53,-1.139,-0.09999,-0.2571,-1.41,0.0005019,0.261,-0.0319,0.002965,0.2896
